Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Matt Crouch,0.5555555555555556,0.5555555555555556,1.0,0.7777777777777778,1.0,0.90625,0.7142857142857143,0.5,0.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,1.0,0.5,0.5,0.5714285714285714,0.5,0.5,0.5,0.5,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.8823529411764706,0.8823529411764706,0.7142857142857143,0.6521739130434783,1.0,1.0,0.6465116279069767,0.6465116279069767,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2,0.2,0.8,0.8,1.0,0.75,0.191904047976012,0.20967741935483872,0.3333333333333333,0.3333333333333333,0.3,0.23076923076923078,0.5,0.5,0.53125,0.4857142857142857,0,0
Brad Crouch,0.3888888888888889,0.3888888888888889,0.85,0.6666666666666666,0.7931034482758621,0.71875,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,1.0,1.0,0.75,0.75,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.30434782608695654,0.5652173913043478,0.5652173913043478,0.22790697674418597,0.22790697674418597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.3493253373313343,0.36363636363636365,0.25,0.25,0.2,0.15384615384615385,0.5,0.5,0.375,0.34285714285714286,0,0
Rory Laird,0.5,0.5,0.7,0.5555555555555556,0.7586206896551724,0.6875,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.1,0.1,0.375,0.375,0.75,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.23529411764705882,0.23529411764705882,1.0,0.9130434782608695,0.8260869565217391,0.8260869565217391,0.7627906976744185,0.7627906976744185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5555555555555556,0.4166666666666667,0.5292353823088456,0.5395894428152492,0.5833333333333334,0.5833333333333334,0.4,0.3076923076923077,0.0,0.0,0.46875,0.42857142857142855,0,0
Rory Atkins,1.0,1.0,0.25,0.2222222222222222,0.7586206896551724,0.6875,0.7142857142857143,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5714285714285714,0.4,0.4,0.875,0.875,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.29411764705882354,0.29411764705882354,0.9523809523809523,0.8695652173913043,0.4782608695652174,0.4782608695652174,0.11162790697674412,0.11162790697674412,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,1.0,0.5,0.0,0.0,0.8,0.8,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,0.2,0.15384615384615385,0.0,0.0,0.71875,0.6571428571428571,0,0
Tom Lynch,0.5555555555555556,0.5555555555555556,0.45,0.37037037037037035,0.6206896551724138,0.5625,1.0,0.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.1,0.1,0.5,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.47058823529411764,0.47058823529411764,0.5714285714285714,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.32093023255813946,0.32093023255813946,0.5,0.3333333333333333,0.5,0.5,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2,0.2,0.0,0.0,0.7777777777777778,0.5833333333333334,0.4917541229385307,0.5029325513196481,0.4166666666666667,0.4166666666666667,0.1,0.07692307692307693,0.0,0.0,0.84375,0.7714285714285715,0,0
Rory Sloane,0.5,0.5,0.45,0.37037037037037035,0.5862068965517241,0.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,1.0,0.5,0.6666666666666666,0.7142857142857143,0.5,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8235294117647058,0.8235294117647058,0.23809523809523808,0.21739130434782608,0.30434782608695654,0.30434782608695654,-0.00465116279069774,-0.00465116279069774,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.4,0.4,0.6,0.6,0.6666666666666666,0.5,0.512743628185907,0.5234604105571847,0.6666666666666666,0.6666666666666666,0.3,0.23076923076923078,1.0,1.0,0.59375,0.5428571428571428,0,0
Hugh Greenwood,0.5,0.5,0.35,0.2962962962962963,0.5172413793103449,0.46875,0.8571428571428571,0.6,0.6666666666666666,0.6666666666666666,0.0,0.0,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.6,0.6,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6470588235294118,0.6470588235294118,0.2857142857142857,0.2608695652173913,0.6521739130434783,0.6521739130434783,0.9953488372093022,0.9953488372093022,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.4,0.4,0.8,0.8,0.8888888888888888,0.6666666666666666,0.2518740629685157,0.26832844574780057,0.08333333333333333,0.08333333333333333,0.3,0.23076923076923078,1.0,1.0,0.15625,0.14285714285714285,0,0
Daniel Talia,0.3333333333333333,0.3333333333333333,0.45,0.37037037037037035,0.4827586206896552,0.4375,1.0,0.7,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.125,0.125,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5294117647058824,0.5294117647058824,0.3333333333333333,0.30434782608695654,0.5217391304347826,0.5217391304347826,0.7627906976744185,0.7627906976744185,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.239880059970015,0.2565982404692082,0.4166666666666667,0.4166666666666667,1.0,0.7692307692307693,0.0,0.0,1.0,0.9142857142857143,0,0
Brodie Smith,0.7222222222222222,0.7222222222222222,0.1,0.1111111111111111,0.4827586206896552,0.4375,0.5714285714285714,0.4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.25,0.25,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6086956521739131,0.4782608695652174,0.4782608695652174,0.6465116279069767,0.6465116279069767,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4166666666666667,0.7991004497751124,0.8035190615835777,0.25,0.25,0.1,0.07692307692307693,0.0,0.0,0.65625,0.6,0,0
Jake Kelly,0.3888888888888889,0.3888888888888889,0.4,0.3333333333333333,0.4827586206896552,0.4375,0.7142857142857143,0.5,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0,1.0,0.5,0.0,0.14285714285714285,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,1.0,0.11764705882352941,0.11764705882352941,0.5714285714285714,0.5217391304347826,0.6086956521739131,0.6086956521739131,0.9953488372093022,0.9953488372093022,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.0,0.021994134897360705,0.08333333333333333,0.08333333333333333,0.6,0.46153846153846156,0.0,0.0,0.53125,0.4857142857142857,0,0
